LungCap,Age
6.475,6
10.125,18
9.55,16
11.125,14
4.8,5
6.225,11
4.95,8
7.325,11
8.875,15
6.8,11
11.5,19
10.925,17
6.525,12
6,10
7.825,10
9.525,13
7.875,15
5.05,8
7.025,11
9.525,14
3.975,6
5.325,8
10.025,16
8.725,11
9.375,11
8.35,12
6.75,12
9.025,9
1.125,4
10.475,18
4.65,4
7.725,13
10.6,13
11.025,13
8.65,12
8.825,10
4.2,6
8.775,9
6.325,11
11.325,17
8.225,14
10.725,17
5.875,8
7.275,12
1.575,6
6.7,11
7.65,11
8,12
12.95,17
7.35,7
9.625,15
12.425,15
7.4,11
4.875,10
12.225,18
4.25,6
8.2,13
11.4,19
4.625,9
7.825,12
6.7,12
9.2,14
6.95,9
6.85,13
8.45,13
7.35,13
5.375,11
7.375,11
8.6,11
7.9,12
8.5,14
9.7,11
5.125,11
7.825,13
6.25,13
4.975,12
7.5,14
5.875,9
10.05,17
10.8,11
7.35,12
11.9,16
12.05,17
11.575,19
6.2,14
6.125,12
13.875,19
7.75,11
7.475,15
11.575,19
6.95,9
9.2,14
9.75,13
9.65,14
11.75,19
10.825,18
7.55,16
6.95,7
10.675,16
6.1,10
8.025,13
9.225,14
3.45,13
10.725,16
7.95,16
3.425,5
10.875,16
8.625,12
6.45,7
3.1,7
10.425,15
12.15,18
1.85,8
5.875,3
9.125,15
8.975,15
3.75,7
10.275,18
6.675,8
